제목,저자,번역,출간일,페이지,판매가
"1년에 5,000만 원 버는 수익 확장 노하우 네이버 블로그로 돈 벌기",김동석,-,2021-09-28,312,14400
디자인 1등 유튜버 존코바의 클릭을 유도하는 유튜브 디자인 with 포토샵,존코바(이요한),-,2021-09-27,348,17820
핸즈온 해킹,"매슈 히키 , 제니퍼 아커리",류광,2021-09-27,776,40500
정리 잘하는 사람은 이렇게 합니다,고메다 마리나,박연정,2021-09-17,208,13500
두 발로 선 경제,이용우,-,2021-09-10,468,20700
인공지능 논리 입문,이은정,-,2021-09-10,260,22000
머신러닝 파워드 애플리케이션,에마뉘엘 아메장,박해선,2021-09-06,304,24300
유튜브 마케팅 인사이트,서양수,-,2021-09-03,280,14850
웹 브라우저 속 머신러닝 TensorFlow.js,카이 사사키,유수연,2021-09-01,312,22500
"IT CookBook, 처음 만나는 전기기기(2판)","최은혁 , 박숭규",2021-08-31,328 쪽,9791156645498,24000
모바일 UX/UI 디자인 강의 with Adobe XD,김영삼,-,2021-08-30,404,23400
인문학 거저보기 : 서양철학 편,지하늘,-,2021-08-30,380,16650
처음 배우는 플라스크 웹 프로그래밍,윤정현,-,2021-08-30,260,17820
"IT CookBook, 현대 센서공학(5판)",Jacob Fraden,"김윤 , 김혁 , 박동욱",2021-08-27,688,35000
방구석 심리학 실험실,마이클 A. 브릿,류초롱,2021-08-25,388,16200
"IT CookBook, 모바일 웹 서비스 구현을 위한 JSP 웹 프로그래밍","김현규 , 박유현",-,2021-08-23,660,30000
혼자서도 척척 접는 종이접기,신구 후미아키,-,2021-08-23,96,8820
혼자서도 척척 접는 종이접기 2권 세트,신구 후미아키,-,2021-08-23,192,13500
혼자서도 척척 접는 종이접기 플러스,신구 후미아키,-,2021-08-23,96,8820
스파크를 이용한 자연어 처리,앨릭스 토머스,이창현,2021-08-20,440,30600
어른을 위한 두뇌 놀이 책,개러스 무어 박사,-,2021-08-20,112,8910
클라우드 네이티브를 위한 데이터 센터 네트워크 구축,디네시 G. 더트,정기훈,2021-08-20,564,32400
감으로만 일하던 김 팀장은 어떻게 데이터 좀 아는 팀장이 되었나,"황보현우 , 김철수",-,2021-08-16,336,16020
미래조직을 위한 조직설계의 이해(4판),"현선해 , 최세경 , 서문교",-,2021-08-13,292,22000
쉽게 배우고 익히는 회계원리(4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선",-,2021-08-13,568,30000
쉽게 배우고 익히는 회계원리[객관식/학습문제 해답](4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선",-,2021-08-13,160,7000
fastai와 파이토치가 만나 꽃피운 딥러닝,"제러미 하워드 , 실뱅 거거","박찬성 , 김지은",2021-08-10,720,39600
"IT CookBook, 짧고 굵게 배우는 JSP 웹 프로그래밍과 스프링 프레임워크",황희정,-,2021-08-09,472,27000
스케치업 & V-Ray 트레이닝 북(개정판),강석창,2021-08-09,496 쪽,9791162244616,25200
생각과 말로 글을 늘리는 초등 10분 글쓰기,강근영,-,2021-08-07,324,14220
데이터베이스 시스템(7판),"Abraham Silberschatz , Henry F. Korth , S. Sudarshan","정연돈 , 권준호 , 김종욱 , 서영균 , 이동호",2021-08-05,1248,45000
만들면서 배우는 파이토치 딥러닝,오가와 유타로,박광수(아크몬드),2021-08-05,544,36000
눈 떠보니 선진국,박태웅,-,2021-08-01,228,14850
실리콘밸리 리더십,마이클 롭,김정혜,2021-08-01,368,19800
처음 시작하는 마이크로서비스,"로니 미트라 , 이라클리 나다레이슈빌리",-,2021-08-01,344,24300
텐서플로 라이트를 활용한 안드로이드 딥러닝,임태규,-,2021-08-01,368,24300
회사에서 바로 통하는  오토캐드 AutoCAD 2022,심미현,2021-07-28,664 쪽,9791162244623,25200
5리터의 피,로즈 조지,김정아,2021-07-27,492,22500
미국주식 스팩투자법,리차드(이명진),-,2021-07-26,280,16650
재미있고 빠른 숫자 쓰기 1권 : 0부터 50까지,한빛학습연구회,-,2021-07-26,88,6750
재미있고 빠른 숫자 쓰기 2권 : 0부터 100까지,한빛학습연구회,-,2021-07-26,96,6750
재미있고 빠른 알파벳 쓰기,한빛학습연구회,-,2021-07-26,88,6750
비즈니스 애널리틱스,"Sanjiv Jaggia , Alison Kelly , Kevin Lertwachara , Leida Chen","장혜정 , 이상규 , 오세환 , 변종복",2021-07-20,704,38000
이기적이라 살아남았습니다,이마이즈미 다다아키,"김지연 , 이정모(감수)",2021-07-20,176,12420
스벨트 앤 새퍼 인 액션,마크 볼크먼,박수현,2021-07-19,580,34200
"STEM CookBook, 문제 해결력을 키우는 정역학",오충석,-,2021-07-16,460,30000
최신 관리회계,"정재권 , 서한결 , 곽종민",-,2021-07-10,460,28000
리눅스 입문자를 위한 명령어 사전,"가와구치 히로시 , 다야 후미히코 , 미사와 아키라",서수환,2021-07-07,456,28800
파타고니아 이야기,이본 쉬나드,추선영,2021-07-07,584,49500
"풀스택 서버리스 :  리액트, AWS, 그래프QL을 이용한 최신 애플리케이션 개발",네이더 다빗,김범준,2021-07-05,216,18900
한 권으로 배우는 작고 예쁜 꽃자수,장미나(미나랜드),-,2021-07-05,240,16200
"IT CookBook, 처음 만나는 회로이론(2판)",방성완,2021-07-02,400 쪽,9791156645474,23000
안전필수 시스템 제어 설계,"김국헌 , 김태효 , 이성섭",-,2021-07-02,488,38000
데이터 스토리,낸시 두아르테,"권혜정 , 윤영진(감수)",2021-07-01,240,19800
